Year,Month,Day,AreaCode,CatchKG,DiscardedKG,Vessel_ID
2014,10,6,3,,21.32,312275
2014,10,6,3,,17.24,312405
2014,10,6,4,,,25060
2014,10,6,4,,,311875
2014,10,6,5,,,24477
2014,10,6,5,,,25077
2014,10,6,5,,,25204
2014,10,6,5,,,25536
2014,10,6,5,,,28120
2014,10,6,6,,,23285
2014,10,6,6,,97.52,23291
2014,10,6,6,,,24869
2014,10,6,6,,45.36,30159
2014,10,6,7,,215,25278
2014,10,6,8,,,25343
2014,10,6,8,4128.2,,25869
2014,10,6,8,28.89,716.68,29518
2014,10,6,8,,,30623
2014,10,6,8,,,311405
2014,10,6,9,,,24013
2014,10,6,9,,,27080
2014,10,5,3,,,29411
2014,10,5,3,11.39,10.89,29568
2014,10,5,3,,,310026
2014,10,5,3,,11.79,310988
2014,10,5,4,,,21933
2014,10,5,4,,154.22,29560
2014,10,5,4,,13.61,312405
2014,10,5,5,,,28120
2014,10,5,6,,,23285
2014,10,5,6,,306.18,23291
2014,10,5,6,,,24869
2014,10,5,6,,134.26,30159
2014,10,5,8,,,24893
2014,10,5,9,,,24013
2014,10,4,3,,,29411
2014,10,4,3,,272.16,29456
2014,10,4,3,,,310026
2014,10,4,3,,80.28,310988
2014,10,4,5,,158.76,23291
2014,10,4,5,,249.48,29863
2014,10,4,6,,421.84,23291
2014,10,4,6,,,27728
2014,10,4,6,,748.43,29863
2014,10,4,6,,84.82,30159
2014,10,4,8,,,24893
2014,10,4,8,,,25075
2014,10,4,8,,202.76,29518
2014,10,4,8,,,30623
2014,10,4,9,,,24013
2014,10,4,9,,,24893
2014,10,4,9,,,27080
2014,10,4,9,,,311405
2014,10,3,3,,,21933
2014,10,3,3,,,29411
2014,10,3,3,,,310026
2014,10,3,6,,,27728
2014,10,3,8,,,24893
2014,10,3,8,,,30623
2014,10,3,9,,,24013
2014,10,3,9,,,24893
2014,10,3,9,,,27080
2014,10,2,3,,,21933
2014,10,2,3,,,29411
2014,10,2,3,,,310026
2014,10,2,4,,,311875
2014,10,2,5,311.41,11.34,23277
2014,10,2,5,,88.45,29863
2014,10,2,6,,,27728
2014,10,2,8,,,25688
2014,10,2,9,,,21449
2014,10,1,3,,,20680
2014,10,1,3,,,21933
2014,10,1,3,,,29411
2014,10,1,3,,,30015
2014,10,1,3,,,310026
2014,10,1,3,,4.08,310913
2014,10,1,4,,983.85,22200
2014,10,1,4,,,24208
2014,10,1,4,,4.08,310913
2014,10,1,4,,,311875
2014,10,1,4,,61.68,312405
2014,10,1,5,715.95,,23276
2014,10,1,5,,1133.98,23277
2014,10,1,5,,,23734
2014,10,1,5,,,25060
2014,10,1,5,,,28120
2014,10,1,5,,929.86,29863
2014,10,1,5,,226.8,30282
